id,name,documents_url,announcement_url,notices_url
union-min-mod,Ministry of Defence,,,
union-min-mea,Ministry of External Affairs,https://www.mea.gov.in/documents/,https://www.mea.gov.in/notice_category/announcement/,https://www.mea.gov.in/notice_category/notices/
union-min-moagri,Ministry of Agriculture and Farmers Welfare,,,
union-min-moenv,Ministry of Environment, Forest and Climate Change,,,
union-min-moci,Ministry of Commerce and Industry,https://commerce.gov.in/documents/,https://commerce.gov.in/notice_category/announcement/,https://commerce.gov.in/notice_category/notices/
union-min-mole,Ministry of Labour and Employment,https://labour.gov.in/documents/,https://labour.gov.in/notice_category/announcement/,https://labour.gov.in/notice_category/notices/
union-min-morail,Ministry of Railways,,,
union-min-mopng,Ministry of Petroleum and Natural Gas,https://mopng.gov.in/en/documents/,https://mopng.gov.in/notice_category/announcement/,https://mopng.gov.in/notice_category/notices/
union-min-mopower,Ministry of Power,,,
union-min-mowr,Ministry of Jal Shakti (Water Resources),https://jalshakti-dowr.gov.in/documents/,https://jalshakti-dowr.gov.in/notice_category/announcement/,https://jalshakti-dowr.gov.in/notice_category/notices/
union-min-moca,Ministry of Civil Aviation,,,
union-min-mosj,Ministry of Social Justice and Empowerment,,,
union-min-mota,Ministry of Tribal Affairs,,,
union-min-mowcd,Ministry of Women and Child Development,,,
union-min-mocf,Ministry of Consumer Affairs, Food and Public Distribution,,,
union-min-meity,Ministry of Electronics and IT,https://www.meity.gov.in/documents/,https://www.meity.gov.in/notice_category/announcement/,https://www.meity.gov.in/notice_category/notices/
union-min-mospi,Ministry of Statistics and Programme Implementation,https://mospi.gov.in/documents/,https://mospi.gov.in/notice_category/announcement/,https://mospi.gov.in/notice_category/notices/
union-strat-isro,Indian Space Research Organisation (ISRO),,,
union-strat-dae,Department of Atomic Energy,https://dae.gov.in/documents/,,
union-strat-drdo,Defence Research and Development Organisation,https://www.drdo.gov.in/documents/,,
union-strat-uidai,Unique Identification Authority of India (UIDAI),,,
sez-gift-city,GIFT City IFSC,,,
sez-noida,Noida Special Economic Zone,,,
sez-cochin,Cochin Special Economic Zone,,,
sez-kandla,Kandla Special Economic Zone,,,
sez-santacruz,SEEPZ Special Economic Zone,,,
sez-falta,Falta Special Economic Zone,,,
sez-madras,Madras Export Processing Zone,,https://mepz.gov.in/notice_category/announcement/,
